,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,label
54,12455.0,12449.0,12446.0,12441.0,12440.0,12436.0,12430.0,12420.0,12406.0,12400.0,12404.0,12407.0,12412.0,12417.0,12422.0,12461.0,12454.0,12451.0,12444.0,12441.0,12434.0,12427.0,12413.0,12399.0,12398.0,12400.0,12403.0,12408.0,12414.0,12421.0,12465.0,12459.0,12455.0,12446.0,12441.0,12431.0,12422.0,12404.0,12394.0,12393.0,12392.0,12397.0,12403.0,12410.0,12419.0,12469.0,12464.0,12457.0,12447.0,12439.0,12427.0,12415.0,12395.0,12387.0,12383.0,12382.0,12388.0,12397.0,12406.0,12416.0,12472.0,12467.0,12458.0,12447.0,12436.0,12424.0,12407.0,12386.0,12377.0,12371.0,12371.0,12379.0,12390.0,12402.0,12414.0,12474.0,12468.0,12457.0,12445.0,12433.0,12417.0,12397.0,12376.0,12366.0,12357.0,12359.0,12369.0,12383.0,12398.0,12412.0,12476.0,12468.0,12457.0,12444.0,12430.0,12412.0,12387.0,12368.0,12354.0,12343.0,12348.0,12361.0,12378.0,12395.0,12412.0,12473.0,12469.0,12457.0,12443.0,12426.0,12405.0,12379.0,12359.0,12342.0,12332.0,12340.0,12355.0,12374.0,12394.0,12412.0,12477.0,12469.0,12460.0,12444.0,12423.0,12400.0,12373.0,12353.0,12335.0,12326.0,12337.0,12354.0,12375.0,12396.0,12414.0,12480.0,12466.0,12461.0,12444.0,12420.0,12393.0,12367.0,12348.0,12331.0,12326.0,12338.0,12358.0,12378.0,12399.0,12416.0,12480.0,12471.0,12462.0,12444.0,12421.0,12393.0,12366.0,12348.0,12332.0,12330.0,12345.0,12365.0,12385.0,12403.0,12421.0,12477.0,12478.0,12462.0,12445.0,12422.0,12393.0,12365.0,12349.0,12337.0,12341.0,12355.0,12375.0,12393.0,12409.0,12426.0,12476.0,12479.0,12468.0,12447.0,12426.0,12400.0,12373.0,12356.0,12345.0,12353.0,12365.0,12385.0,12402.0,12417.0,12433.0,12479.0,12481.0,12468.0,12452.0,12431.0,12403.0,12375.0,12361.0,12355.0,12365.0,12378.0,12396.0,12410.0,12425.0,12440.0,12480.0,12480.0,12468.0,12455.0,12436.0,12412.0,12387.0,12368.0,12366.0,12379.0,12391.0,12407.0,12420.0,12434.0,12446.0,67.0,58.0,NROI
55,12426.0,12435.0,12438.0,12438.0,12438.0,12442.0,12443.0,12440.0,12437.0,12431.0,12430.0,12425.0,12423.0,12421.0,12421.0,12444.0,12449.0,12447.0,12447.0,12446.0,12447.0,12446.0,12442.0,12436.0,12433.0,12429.0,12425.0,12422.0,12420.0,12418.0,12462.0,12459.0,12455.0,12454.0,12453.0,12450.0,12447.0,12441.0,12437.0,12432.0,12426.0,12421.0,12416.0,12414.0,12414.0,12472.0,12466.0,12463.0,12459.0,12456.0,12451.0,12447.0,12439.0,12435.0,12426.0,12419.0,12414.0,12410.0,12410.0,12411.0,12480.0,12475.0,12470.0,12463.0,12458.0,12452.0,12445.0,12435.0,12428.0,12419.0,12411.0,12407.0,12405.0,12406.0,12409.0,12487.0,12480.0,12474.0,12466.0,12459.0,12450.0,12441.0,12430.0,12420.0,12410.0,12404.0,12402.0,12403.0,12405.0,12409.0,12496.0,12483.0,12477.0,12467.0,12459.0,12448.0,12437.0,12424.0,12410.0,12401.0,12398.0,12399.0,12401.0,12405.0,12410.0,12496.0,12486.0,12478.0,12468.0,12457.0,12446.0,12432.0,12415.0,12400.0,12394.0,12394.0,12397.0,12402.0,12407.0,12413.0,12496.0,12489.0,12479.0,12468.0,12455.0,12442.0,12426.0,12405.0,12391.0,12389.0,12392.0,12398.0,12404.0,12410.0,12416.0,12504.0,12491.0,12481.0,12469.0,12454.0,12441.0,12421.0,12396.0,12387.0,12387.0,12393.0,12400.0,12407.0,12413.0,12420.0,12500.0,12492.0,12482.0,12469.0,12452.0,12435.0,12415.0,12392.0,12385.0,12388.0,12396.0,12405.0,12412.0,12418.0,12424.0,12514.0,12500.0,12488.0,12468.0,12454.0,12437.0,12415.0,12393.0,12388.0,12393.0,12403.0,12411.0,12418.0,12424.0,12429.0,12509.0,12495.0,12484.0,12468.0,12454.0,12437.0,12417.0,12397.0,12397.0,12403.0,12411.0,12419.0,12424.0,12429.0,12434.0,12501.0,12497.0,12485.0,12471.0,12456.0,12445.0,12426.0,12408.0,12409.0,12413.0,12420.0,12426.0,12430.0,12435.0,12439.0,12500.0,12492.0,12484.0,12473.0,12459.0,12447.0,12433.0,12420.0,12422.0,12425.0,12428.0,12433.0,12435.0,12440.0,12444.0,67.0,57.0,NROI
56,12418.0,12419.0,12420.0,12422.0,12424.0,12424.0,12428.0,12429.0,12428.0,12426.0,12420.0,12415.0,12411.0,12406.0,12405.0,12435.0,12436.0,12433.0,12433.0,12432.0,12431.0,12431.0,12430.0,12428.0,12423.0,12417.0,12412.0,12408.0,12409.0,12410.0,12447.0,12443.0,12442.0,12440.0,12438.0,12435.0,12432.0,12430.0,12424.0,12417.0,12411.0,12408.0,12409.0,12412.0,12414.0,12459.0,12454.0,12450.0,12446.0,12443.0,12437.0,12432.0,12427.0,12417.0,12409.0,12405.0,12406.0,12411.0,12415.0,12419.0,12474.0,12462.0,12454.0,12449.0,12444.0,12436.0,12429.0,12420.0,12408.0,12401.0,12400.0,12405.0,12412.0,12419.0,12424.0,12483.0,12462.0,12456.0,12451.0,12445.0,12433.0,12423.0,12411.0,12396.0,12391.0,12396.0,12404.0,12415.0,12422.0,12429.0,12491.0,12465.0,12457.0,12452.0,12443.0,12428.0,12416.0,12398.0,12385.0,12384.0,12392.0,12404.0,12416.0,12425.0,12433.0,12499.0,12472.0,12460.0,12453.0,12440.0,12423.0,12409.0,12386.0,12376.0,12378.0,12388.0,12405.0,12418.0,12428.0,12436.0,12489.0,12480.0,12462.0,12454.0,12437.0,12415.0,12399.0,12377.0,12368.0,12373.0,12387.0,12407.0,12421.0,12432.0,12440.0,12491.0,12481.0,12467.0,12455.0,12437.0,12414.0,12394.0,12372.0,12363.0,12372.0,12389.0,12410.0,12424.0,12435.0,12444.0,12499.0,12481.0,12467.0,12453.0,12436.0,12411.0,12391.0,12371.0,12365.0,12376.0,12394.0,12416.0,12429.0,12439.0,12448.0,12494.0,12481.0,12466.0,12455.0,12439.0,12418.0,12400.0,12379.0,12376.0,12387.0,12404.0,12424.0,12434.0,12444.0,12452.0,12489.0,12482.0,12466.0,12458.0,12444.0,12421.0,12406.0,12392.0,12391.0,12402.0,12417.0,12431.0,12439.0,12450.0,12456.0,12482.0,12477.0,12465.0,12462.0,12450.0,12430.0,12420.0,12408.0,12410.0,12420.0,12429.0,12439.0,12446.0,12455.0,12460.0,12483.0,12478.0,12468.0,12462.0,12456.0,12443.0,12429.0,12429.0,12422.0,12435.0,12440.0,12446.0,12453.0,12460.0,12463.0,67.0,59.0,NROI
57,12388.0,12386.0,12388.0,12387.0,12389.0,12391.0,12393.0,12397.0,12402.0,12410.0,12415.0,12414.0,12415.0,12416.0,12417.0,12408.0,12404.0,12400.0,12401.0,12401.0,12402.0,12403.0,12405.0,12409.0,12416.0,12414.0,12415.0,12417.0,12419.0,12420.0,12426.0,12423.0,12416.0,12415.0,12413.0,12412.0,12412.0,12412.0,12416.0,12416.0,12413.0,12415.0,12417.0,12420.0,12424.0,12442.0,12439.0,12430.0,12427.0,12423.0,12421.0,12419.0,12417.0,12419.0,12414.0,12410.0,12413.0,12420.0,12425.0,12429.0,12455.0,12454.0,12447.0,12436.0,12432.0,12429.0,12424.0,12420.0,12418.0,12409.0,12408.0,12414.0,12422.0,12428.0,12433.0,12469.0,12463.0,12451.0,12443.0,12438.0,12433.0,12427.0,12421.0,12414.0,12403.0,12407.0,12416.0,12424.0,12431.0,12437.0,12484.0,12464.0,12457.0,12451.0,12443.0,12436.0,12427.0,12418.0,12407.0,12397.0,12405.0,12417.0,12426.0,12434.0,12440.0,12481.0,12469.0,12462.0,12457.0,12447.0,12437.0,12426.0,12414.0,12399.0,12391.0,12402.0,12418.0,12428.0,12436.0,12443.0,12491.0,12480.0,12466.0,12460.0,12450.0,12437.0,12424.0,12408.0,12391.0,12385.0,12399.0,12418.0,12429.0,12439.0,12446.0,12492.0,12487.0,12476.0,12462.0,12450.0,12435.0,12421.0,12403.0,12385.0,12381.0,12400.0,12420.0,12431.0,12441.0,12449.0,12503.0,12492.0,12476.0,12465.0,12452.0,12438.0,12423.0,12402.0,12382.0,12384.0,12403.0,12424.0,12434.0,12444.0,12453.0,12494.0,12484.0,12473.0,12464.0,12453.0,12438.0,12422.0,12403.0,12385.0,12391.0,12408.0,12428.0,12438.0,12448.0,12456.0,12487.0,12476.0,12473.0,12466.0,12457.0,12446.0,12432.0,12411.0,12395.0,12402.0,12417.0,12437.0,12444.0,12453.0,12460.0,12485.0,12477.0,12477.0,12467.0,12461.0,12446.0,12435.0,12419.0,12409.0,12416.0,12427.0,12445.0,12449.0,12458.0,12464.0,12483.0,12479.0,12476.0,12469.0,12465.0,12453.0,12443.0,12429.0,12426.0,12430.0,12438.0,12453.0,12455.0,12462.0,12467.0,67.0,58.0,NROI
58,12444.0,12441.0,12441.0,12437.0,12431.0,12421.0,12416.0,12423.0,12428.0,12427.0,12426.0,12425.0,12422.0,12420.0,12416.0,12447.0,12443.0,12443.0,12434.0,12425.0,12414.0,12415.0,12421.0,12425.0,12426.0,12426.0,12424.0,12421.0,12418.0,12417.0,12451.0,12445.0,12442.0,12429.0,12419.0,12411.0,12416.0,12417.0,12422.0,12425.0,12424.0,12423.0,12421.0,12419.0,12418.0,12453.0,12446.0,12439.0,12424.0,12415.0,12413.0,12416.0,12419.0,12423.0,12422.0,12422.0,12422.0,12422.0,12421.0,12419.0,12454.0,12446.0,12437.0,12422.0,12414.0,12412.0,12416.0,12418.0,12417.0,12417.0,12418.0,12419.0,12421.0,12422.0,12421.0,12456.0,12446.0,12434.0,12420.0,12412.0,12412.0,12416.0,12413.0,12410.0,12411.0,12414.0,12416.0,12419.0,12421.0,12422.0,12457.0,12447.0,12432.0,12417.0,12410.0,12406.0,12406.0,12403.0,12402.0,12405.0,12409.0,12413.0,12417.0,12420.0,12421.0,12458.0,12448.0,12433.0,12417.0,12409.0,12403.0,12401.0,12398.0,12397.0,12400.0,12403.0,12408.0,12414.0,12419.0,12422.0,12460.0,12450.0,12436.0,12419.0,12409.0,12403.0,12400.0,12395.0,12393.0,12396.0,12400.0,12405.0,12411.0,12418.0,12422.0,12461.0,12452.0,12440.0,12424.0,12416.0,12402.0,12398.0,12393.0,12394.0,12396.0,12398.0,12404.0,12410.0,12417.0,12423.0,12462.0,12454.0,12442.0,12427.0,12420.0,12412.0,12408.0,12402.0,12398.0,12399.0,12399.0,12405.0,12410.0,12418.0,12424.0,12464.0,12456.0,12446.0,12431.0,12420.0,12412.0,12412.0,12410.0,12406.0,12404.0,12403.0,12408.0,12413.0,12419.0,12425.0,12465.0,12459.0,12450.0,12437.0,12426.0,12417.0,12415.0,12416.0,12407.0,12407.0,12407.0,12412.0,12417.0,12421.0,12426.0,12467.0,12461.0,12453.0,12442.0,12427.0,12423.0,12419.0,12416.0,12407.0,12410.0,12412.0,12415.0,12418.0,12424.0,12428.0,12468.0,12462.0,12455.0,12446.0,12433.0,12431.0,12423.0,12421.0,12416.0,12422.0,12421.0,12423.0,12423.0,12427.0,12432.0,86.0,60.0,NROI
59,12453.0,12458.0,12465.0,12467.0,12467.0,12465.0,12463.0,12461.0,12459.0,12457.0,12455.0,12452.0,12449.0,12445.0,12441.0,12459.0,12467.0,12471.0,12471.0,12470.0,12469.0,12467.0,12464.0,12461.0,12458.0,12454.0,12450.0,12446.0,12442.0,12438.0,12467.0,12473.0,12476.0,12475.0,12473.0,12471.0,12468.0,12464.0,12458.0,12453.0,12449.0,12445.0,12440.0,12437.0,12434.0,12475.0,12478.0,12479.0,12478.0,12475.0,12472.0,12468.0,12460.0,12452.0,12446.0,12440.0,12434.0,12431.0,12430.0,12429.0,12480.0,12481.0,12481.0,12479.0,12474.0,12470.0,12463.0,12452.0,12443.0,12435.0,12427.0,12423.0,12422.0,12423.0,12423.0,12482.0,12482.0,12481.0,12478.0,12473.0,12466.0,12456.0,12443.0,12432.0,12420.0,12412.0,12411.0,12413.0,12416.0,12419.0,12484.0,12482.0,12480.0,12475.0,12469.0,12461.0,12448.0,12433.0,12419.0,12406.0,12401.0,12402.0,12408.0,12413.0,12416.0,12485.0,12483.0,12479.0,12472.0,12465.0,12454.0,12438.0,12422.0,12405.0,12394.0,12394.0,12400.0,12408.0,12416.0,12420.0,12485.0,12481.0,12476.0,12470.0,12461.0,12447.0,12428.0,12410.0,12395.0,12388.0,12395.0,12402.0,12410.0,12417.0,12421.0,12484.0,12480.0,12474.0,12466.0,12456.0,12440.0,12421.0,12403.0,12390.0,12390.0,12399.0,12408.0,12414.0,12420.0,12424.0,12483.0,12479.0,12473.0,12464.0,12453.0,12435.0,12417.0,12399.0,12390.0,12396.0,12406.0,12412.0,12418.0,12423.0,12427.0,12482.0,12477.0,12471.0,12463.0,12451.0,12434.0,12416.0,12401.0,12394.0,12406.0,12416.0,12419.0,12423.0,12428.0,12430.0,12481.0,12476.0,12470.0,12462.0,12450.0,12436.0,12418.0,12405.0,12403.0,12419.0,12429.0,12427.0,12427.0,12432.0,12435.0,12479.0,12475.0,12470.0,12462.0,12452.0,12439.0,12423.0,12414.0,12415.0,12431.0,12436.0,12433.0,12432.0,12437.0,12439.0,12478.0,12474.0,12469.0,12462.0,12454.0,12444.0,12431.0,12424.0,12427.0,12437.0,12441.0,12437.0,12438.0,12443.0,12445.0,87.0,62.0,NROI
60,12442.0,12446.0,12448.0,12448.0,12448.0,12447.0,12442.0,12435.0,12428.0,12423.0,12419.0,12414.0,12408.0,12403.0,12398.0,12452.0,12453.0,12451.0,12448.0,12444.0,12452.0,12445.0,12435.0,12428.0,12423.0,12418.0,12413.0,12408.0,12403.0,12399.0,12456.0,12455.0,12453.0,12450.0,12444.0,12441.0,12435.0,12429.0,12425.0,12420.0,12414.0,12411.0,12407.0,12402.0,12399.0,12460.0,12458.0,12453.0,12449.0,12443.0,12436.0,12430.0,12425.0,12418.0,12412.0,12409.0,12407.0,12405.0,12402.0,12398.0,12462.0,12457.0,12451.0,12445.0,12438.0,12430.0,12423.0,12416.0,12409.0,12406.0,12404.0,12403.0,12403.0,12402.0,12400.0,12462.0,12455.0,12448.0,12440.0,12431.0,12422.0,12413.0,12405.0,12400.0,12397.0,12397.0,12397.0,12400.0,12402.0,12401.0,12461.0,12452.0,12444.0,12435.0,12425.0,12414.0,12403.0,12395.0,12391.0,12388.0,12389.0,12392.0,12398.0,12403.0,12404.0,12460.0,12449.0,12440.0,12430.0,12418.0,12405.0,12394.0,12386.0,12382.0,12380.0,12384.0,12389.0,12396.0,12402.0,12404.0,12459.0,12445.0,12436.0,12425.0,12412.0,12398.0,12387.0,12379.0,12375.0,12376.0,12381.0,12387.0,12398.0,12403.0,12417.0,12461.0,12444.0,12432.0,12421.0,12407.0,12393.0,12382.0,12374.0,12374.0,12378.0,12383.0,12390.0,12399.0,12404.0,12421.0,12462.0,12442.0,12431.0,12419.0,12406.0,12393.0,12382.0,12377.0,12375.0,12378.0,12385.0,12392.0,12401.0,12407.0,12411.0,12464.0,12445.0,12430.0,12418.0,12406.0,12393.0,12383.0,12378.0,12379.0,12384.0,12390.0,12397.0,12404.0,12411.0,12413.0,12465.0,12447.0,12430.0,12420.0,12409.0,12397.0,12388.0,12385.0,12387.0,12391.0,12396.0,12402.0,12409.0,12414.0,12417.0,12469.0,12452.0,12435.0,12422.0,12413.0,12403.0,12396.0,12394.0,12396.0,12399.0,12403.0,12409.0,12414.0,12418.0,12421.0,12471.0,12457.0,12440.0,12429.0,12419.0,12412.0,12405.0,12404.0,12405.0,12407.0,12411.0,12415.0,12420.0,12423.0,12425.0,89.0,56.0,NROI
61,12437.0,12446.0,12450.0,12450.0,12452.0,12450.0,12445.0,12442.0,12437.0,12436.0,12438.0,12435.0,12432.0,12429.0,12426.0,12448.0,12456.0,12456.0,12455.0,12454.0,12449.0,12443.0,12437.0,12438.0,12433.0,12432.0,12429.0,12426.0,12425.0,12424.0,12460.0,12462.0,12459.0,12457.0,12452.0,12445.0,12439.0,12430.0,12426.0,12422.0,12421.0,12418.0,12417.0,12419.0,12420.0,12466.0,12464.0,12461.0,12457.0,12448.0,12440.0,12430.0,12419.0,12411.0,12405.0,12405.0,12405.0,12408.0,12412.0,12416.0,12467.0,12464.0,12461.0,12454.0,12443.0,12431.0,12418.0,12404.0,12395.0,12390.0,12391.0,12395.0,12402.0,12407.0,12412.0,12470.0,12466.0,12460.0,12450.0,12435.0,12421.0,12404.0,12390.0,12381.0,12378.0,12382.0,12390.0,12398.0,12405.0,12411.0,12473.0,12465.0,12458.0,12444.0,12427.0,12410.0,12391.0,12378.0,12370.0,12370.0,12375.0,12386.0,12397.0,12406.0,12411.0,12473.0,12464.0,12456.0,12438.0,12420.0,12401.0,12383.0,12371.0,12366.0,12366.0,12373.0,12386.0,12398.0,12408.0,12413.0,12471.0,12463.0,12454.0,12433.0,12414.0,12395.0,12379.0,12368.0,12363.0,12366.0,12375.0,12389.0,12401.0,12411.0,12415.0,12472.0,12463.0,12452.0,12430.0,12410.0,12393.0,12378.0,12369.0,12366.0,12371.0,12381.0,12394.0,12405.0,12415.0,12419.0,12472.0,12463.0,12451.0,12429.0,12409.0,12393.0,12381.0,12375.0,12374.0,12379.0,12389.0,12400.0,12411.0,12419.0,12423.0,12473.0,12462.0,12451.0,12430.0,12410.0,12397.0,12387.0,12383.0,12384.0,12389.0,12397.0,12407.0,12417.0,12424.0,12427.0,12474.0,12464.0,12453.0,12433.0,12413.0,12403.0,12396.0,12393.0,12394.0,12398.0,12407.0,12417.0,12423.0,12429.0,12432.0,12473.0,12465.0,12456.0,12438.0,12421.0,12409.0,12403.0,12401.0,12403.0,12409.0,12417.0,12425.0,12429.0,12432.0,12435.0,12476.0,12469.0,12460.0,12445.0,12430.0,12416.0,12410.0,12409.0,12411.0,12420.0,12427.0,12432.0,12435.0,12435.0,12438.0,87.0,59.0,NROI
62,12322.0,12341.0,12359.0,12378.0,12396.0,12414.0,12425.0,12425.0,12423.0,12421.0,12420.0,12421.0,12422.0,12424.0,12423.0,12350.0,12367.0,12384.0,12400.0,12416.0,12428.0,12428.0,12423.0,12421.0,12416.0,12416.0,12417.0,12418.0,12419.0,12419.0,12377.0,12392.0,12405.0,12418.0,12431.0,12433.0,12426.0,12422.0,12416.0,12411.0,12414.0,12413.0,12414.0,12415.0,12416.0,12400.0,12411.0,12420.0,12434.0,12438.0,12432.0,12424.0,12419.0,12407.0,12400.0,12405.0,12409.0,12411.0,12413.0,12413.0,12416.0,12424.0,12434.0,12444.0,12439.0,12426.0,12421.0,12409.0,12394.0,12389.0,12396.0,12405.0,12411.0,12409.0,12411.0,12430.0,12437.0,12443.0,12443.0,12430.0,12424.0,12414.0,12398.0,12381.0,12379.0,12386.0,12396.0,12404.0,12408.0,12411.0,12440.0,12444.0,12447.0,12435.0,12428.0,12420.0,12406.0,12385.0,12371.0,12371.0,12381.0,12392.0,12403.0,12409.0,12413.0,12447.0,12446.0,12441.0,12432.0,12429.0,12416.0,12399.0,12375.0,12362.0,12366.0,12378.0,12391.0,12402.0,12410.0,12414.0,12446.0,12446.0,12439.0,12436.0,12427.0,12411.0,12393.0,12368.0,12358.0,12364.0,12378.0,12392.0,12404.0,12411.0,12416.0,12450.0,12447.0,12444.0,12438.0,12426.0,12409.0,12390.0,12365.0,12358.0,12366.0,12381.0,12394.0,12406.0,12414.0,12418.0,12454.0,12452.0,12448.0,12440.0,12426.0,12409.0,12389.0,12365.0,12361.0,12370.0,12385.0,12399.0,12409.0,12416.0,12420.0,12457.0,12455.0,12451.0,12442.0,12428.0,12411.0,12392.0,12369.0,12366.0,12377.0,12391.0,12404.0,12413.0,12419.0,12423.0,12462.0,12459.0,12453.0,12444.0,12431.0,12415.0,12398.0,12377.0,12376.0,12387.0,12398.0,12410.0,12417.0,12423.0,12426.0,12466.0,12462.0,12457.0,12448.0,12435.0,12421.0,12405.0,12388.0,12387.0,12393.0,12405.0,12415.0,12421.0,12425.0,12429.0,12469.0,12465.0,12460.0,12452.0,12440.0,12426.0,12414.0,12398.0,12398.0,12403.0,12412.0,12418.0,12425.0,12428.0,12430.0,86.0,58.0,NROI
63,12313.0,12332.0,12347.0,12363.0,12376.0,12386.0,12397.0,12402.0,12407.0,12412.0,12415.0,12418.0,12416.0,12411.0,12410.0,12344.0,12357.0,12372.0,12384.0,12392.0,12403.0,12409.0,12412.0,12415.0,12418.0,12421.0,12420.0,12419.0,12411.0,12406.0,12367.0,12379.0,12391.0,12398.0,12406.0,12415.0,12416.0,12417.0,12421.0,12421.0,12423.0,12420.0,12420.0,12412.0,12405.0,12386.0,12396.0,12404.0,12410.0,12422.0,12422.0,12419.0,12423.0,12424.0,12420.0,12420.0,12420.0,12418.0,12413.0,12405.0,12401.0,12409.0,12416.0,12423.0,12430.0,12424.0,12425.0,12425.0,12422.0,12414.0,12413.0,12414.0,12414.0,12414.0,12408.0,12414.0,12422.0,12427.0,12434.0,12432.0,12427.0,12428.0,12423.0,12414.0,12403.0,12407.0,12410.0,12413.0,12414.0,12410.0,12426.0,12431.0,12436.0,12440.0,12432.0,12432.0,12427.0,12419.0,12405.0,12394.0,12402.0,12406.0,12412.0,12414.0,12413.0,12436.0,12440.0,12442.0,12438.0,12436.0,12433.0,12424.0,12414.0,12396.0,12389.0,12398.0,12404.0,12411.0,12413.0,12415.0,12446.0,12445.0,12443.0,12442.0,12440.0,12432.0,12421.0,12408.0,12387.0,12385.0,12397.0,12404.0,12411.0,12413.0,12415.0,12449.0,12448.0,12447.0,12443.0,12440.0,12431.0,12419.0,12405.0,12382.0,12385.0,12396.0,12404.0,12411.0,12415.0,12416.0,12454.0,12453.0,12449.0,12446.0,12440.0,12431.0,12419.0,12404.0,12382.0,12389.0,12399.0,12406.0,12413.0,12417.0,12418.0,12457.0,12455.0,12452.0,12447.0,12442.0,12432.0,12420.0,12405.0,12388.0,12395.0,12402.0,12409.0,12415.0,12419.0,12420.0,12459.0,12456.0,12453.0,12448.0,12444.0,12434.0,12423.0,12407.0,12398.0,12402.0,12407.0,12412.0,12417.0,12420.0,12422.0,12460.0,12457.0,12455.0,12450.0,12446.0,12436.0,12426.0,12411.0,12408.0,12407.0,12409.0,12414.0,12419.0,12424.0,12424.0,12461.0,12458.0,12455.0,12451.0,12449.0,12439.0,12429.0,12416.0,12418.0,12414.0,12409.0,12415.0,12421.0,12425.0,12427.0,86.0,58.0,NROI
64,12377.0,12381.0,12384.0,12381.0,12380.0,12375.0,12368.0,12357.0,12345.0,12336.0,12333.0,12335.0,12341.0,12349.0,12360.0,12387.0,12389.0,12388.0,12386.0,12379.0,12371.0,12362.0,12348.0,12335.0,12327.0,12326.0,12329.0,12335.0,12343.0,12354.0,12394.0,12395.0,12390.0,12386.0,12375.0,12367.0,12354.0,12337.0,12323.0,12317.0,12318.0,12323.0,12329.0,12338.0,12348.0,12400.0,12396.0,12391.0,12383.0,12371.0,12361.0,12342.0,12323.0,12311.0,12311.0,12312.0,12316.0,12323.0,12333.0,12342.0,12405.0,12397.0,12391.0,12380.0,12366.0,12352.0,12329.0,12309.0,12303.0,12300.0,12302.0,12308.0,12317.0,12328.0,12337.0,12405.0,12396.0,12389.0,12374.0,12360.0,12341.0,12315.0,12297.0,12291.0,12288.0,12289.0,12299.0,12311.0,12325.0,12335.0,12403.0,12395.0,12385.0,12369.0,12353.0,12330.0,12302.0,12287.0,12278.0,12276.0,12280.0,12291.0,12305.0,12321.0,12333.0,12403.0,12392.0,12381.0,12363.0,12346.0,12319.0,12291.0,12279.0,12269.0,12267.0,12275.0,12287.0,12302.0,12318.0,12332.0,12401.0,12389.0,12377.0,12358.0,12339.0,12308.0,12286.0,12275.0,12268.0,12267.0,12276.0,12288.0,12303.0,12317.0,12332.0,12399.0,12386.0,12373.0,12354.0,12332.0,12302.0,12283.0,12275.0,12272.0,12272.0,12280.0,12291.0,12306.0,12318.0,12332.0,12397.0,12384.0,12369.0,12350.0,12328.0,12300.0,12285.0,12279.0,12277.0,12283.0,12291.0,12298.0,12311.0,12321.0,12332.0,12396.0,12382.0,12367.0,12347.0,12325.0,12301.0,12289.0,12286.0,12286.0,12292.0,12299.0,12310.0,12323.0,12327.0,12333.0,12395.0,12381.0,12365.0,12346.0,12325.0,12305.0,12297.0,12296.0,12299.0,12303.0,12312.0,12322.0,12331.0,12332.0,12336.0,12395.0,12381.0,12364.0,12345.0,12327.0,12312.0,12307.0,12307.0,12312.0,12313.0,12324.0,12332.0,12336.0,12336.0,12340.0,12396.0,12382.0,12364.0,12346.0,12331.0,12319.0,12317.0,12318.0,12324.0,12328.0,12339.0,12335.0,12337.0,12339.0,12346.0,100.0,54.0,NROI
